A ESTRUTURA TEM AS SEGUINTES INFORMAÇÕES: 
tempo de compilação: 102628134 nanosegundos
números de comparações de chaves: 77786
número de colisões: 4259

Palavra                          Frequencia
blowing                          2
blowing-not                      1
blown                            4
blue                             46
blue-black                       1
blueness                         4
blunt                            1
blush                            1
boarding-school                  1
boasted                          1
boat                             1
bob                              5
bobbing                          3
bodies                           1
body                             17
bold                             8
boldly                           1
bolt                             1
bolted                           1
bone                             1
bones                            3
bonnet                           4
book                             6
books                            19
books-and                        1
books-crowds                     1
boot                             2
boots                            3
border                           1
bordered                         1
borders                          3
bored                            1
born                             16
bosom                            2
both                             42
bottle                           3
bottom                           1
bottomless                       1
boudoir                          1
bough                            1
boughs                           1
bought                           6
bound                            6
bounteous                        1
bounties                         1
bowered                          1
bowl                             1
box                              3
boxin                            1
boy                              103
boy-his                          1
boyhood                          1
boyish                           2
boys                             11
brace                            1
brain                            2
branch                           15
branched                         1
branches                         19
brass                            2
bray                             1
brayin                           1
breach                           2
bread                            10
break                            7
breakfast                        21
breakfasted                      1
breakfasts                       1
breaking                         1
breaks                           1
breast                           5
breath                           23
breath-until                     1
breathe                          8
breathe-as                       1
breathed                         3
breathin                         1
breathing                        8
breathless                       5
breaths                          10
bred                             1
breeze                           1
brick                            1
bricks                           1
bridge                           1
bridges                          1
brief                            3
bright                           13
bright-breasted                  1
brightened                       2
brighter                         1
brilliant                        6
brim                             1
brims                            1
bring                            21
bringin                          1
bringing                         2
brings                           1
brisk                            1
briskly                          1
broad                            13
broadly                          2
brocade                          4
brocaded                         2
broke                            11
broken                           7
bromide                          1
brooch                           1
brood                            2
brooded                          2
broom                            3
brother                          5
brothers                         6
brougham                         1
brought                          40
brown                            10
brownish                         1
brows                            2
browsbut                         1
browt                            1
brush                            3
brushed                          1
brushes                          1
brute                            2
bubbled                          1
buckingham                       1
bud                              1
buds                             9
buds-and                         1
buds-tiny                        1
buffeting                        1
build                            5
buildin                          2
building                         5
built                            2
bulbs                            8
bumped                           1
bunch                            1
bundle                           1
bungalow                         7
bungalows                        1
buns                             7
burden                           1
buried                           19
burly                            1
burned                           1
burnett                          2
burning                          1
burrow                           1
burrows                          2
burst                            13
burstin                          1
bursting                         1
bursts                           1
buses                            1
bush                             18
bushes                           11
bushy                            2
bushy-tailed                     1
busier                           1
busily                           2
business                         5
busy                             15
but                              453
but-because                      1
but-but                          2
but-i                            1
butcher                          1
butler                           1
butshe                           1
butt                             1
butter                           4
buttered                         2
butterflies                      3
buttermilk                       1
buttermilk-faced                 1
butterworth                      1
butthinking                      1
button                           2
buttoned                         1
buttons                          1
buy                              9
buys                             1
by                               176
by-and                           1
c                                5
c-could                          1
cabbage                          1
cabbages                         4
cabinet                          5
cabs                             1
cake                             2
calculate                        1
calculated                       1
call                             17
called                           26
callin                           5
calling                          9
calls                            6
calm                             3
calmly                           1
calmness                         3
calves                           1
came                             95
camels                           3
campanulas                       2
can                              138
candle                           5
canna                            5
cannot                           13
canopy                           7
cant                             29
cant-i                           1
canterbury                       1
cap                              6
captain                          11
captains                         1
card                             1
care                             32
cared                            2
careful                          12
carefully                        10
carefulness                      1
cares                            3
carpet                           6
carriage                         19
carried                          10
carrots                          1
carry                            9
carryin                          2
carrying                         1
cart                             3
